"exp","ver","sub","exp_initials","blocktype","trial","trialtime","trialtype","t1_level","t2_level","lag","t2_lag","targets","cuetype","mode","t1","t1_corr","t1_resp","t1_acc","t1_rt","t1_dur","t2","t2_corr","t2_resp","t2_acc","t2_rt","t2_dur","distractor1","distractor2","maskfile1","maskfile2","t1mask_soa","t2mask_soa","t1t2_soa"
"RSVPLG03","1.0.1",701,"km","Experiment",13,"20251014-095157","main","global","global",750,750,"Both",1,"Automatic","H","hH","h",1,0.412138100015,0.0478773999493569,"H","hH","s",0,0.652186200022697,0.0507187000475824,"E","E","mask-2.png","mask-4.png",0.0986033999361098,0.102643500082195,0.740814900025725
"RSVPLG03","1.0.1",701,"km","Experiment",14,"20251014-095202","main","global","local",750,750,"Both",1,"Automatic","H","hH","s",0,7.34468570002355,0.0510913000907749,"H","hH","h",1,0.447429799940437,0.0504217999987304,"A","A","mask-2.png","mask-3.png",0.102204900002107,0.098883300088346,0.744226400041953
"RSVPLG03","1.0.1",701,"km","Experiment",15,"20251014-095214","main","global","global",750,750,"Both",1,"Automatic","S","sS","s",1,0.376110000070184,0.0503382999449968,"H","hH","h",1,0.236661999952048,0.0500976000912488,"A","E","mask-2.png","mask-3.png",0.100279300007969,0.101111800177023,0.741799799958244
"RSVPLG03","1.0.1",701,"km","Experiment",16,"20251014-095219","main","local","local",750,750,"Both",1,"Automatic","H","hH","h",1,0.580377199919894,0.0493427999317646,"H","hH","s",0,0.265699400100857,0.050571900093928,"E","A","mask-1.png","mask-2.png",0.101321799913421,0.100520200096071,0.742887899978086
"RSVPLG03","1.0.1",701,"km","Experiment",17,"20251014-095224","main","local","local",750,750,"Both",1,"Automatic","H","hH","h",1,0.660625000018626,0.0517125998158008,"S","sS","s",1,0.322660600068048,0.0518395998515189,"A","A","mask-1.png","mask-3.png",0.100561899831519,0.10172489983961,0.742834100034088
"RSVPLG03","1.0.1",701,"km","Experiment",18,"20251014-095229","main","global","global",750,750,"Both",1,"Automatic","S","sS","s",1,0.388125699944794,0.0494148000143468,"S","sS","s",1,0.834937700070441,0.0504379000049084,"A","E","mask-1.png","mask-1.png",0.0991250998340547,0.100972299929708,0.741519199917093
"RSVPLG03","1.0.1",701,"km","Experiment",19,"20251014-095234","main","global","global",300,300,"Both",1,"Automatic","H","hH","s",0,0.735972299939021,0.0514686000533402,"H","hH","s",0,0.256610099924728,0.0506074998993427,"E","A","mask-2.png","mask-2.png",0.101539100054651,0.102235200116411,0.303853400051594
"RSVPLG03","1.0.1",701,"km","Experiment",20,"20251014-095239","main","global","global",750,750,"Both",1,"Automatic","H","hH","h",1,0.3868180999998,0.0511485000606626,"H","hH","h",1,0.241110899951309,0.0509428000077605,"E","E","mask-1.png","mask-1.png",0.102029500063509,0.101612100144848,0.74228599993512
"RSVPLG03","1.0.1",701,"km","Experiment",21,"20251014-095244","main","local","global",300,300,"Both",1,"Automatic","H","hH","h",1,0.579206499969587,0.0515068999957293,"H","hH","s",0,0.655796600040048,0.0517816999927163,"A","E","mask-2.png","mask-2.png",0.102380299940705,0.102286400040612,0.305181999923661
"RSVPLG03","1.0.1",701,"km","Experiment",22,"20251014-095248","main","local","local",750,750,"Both",1,"Automatic","H","hH","h",1,0.549205000046641,0.050913600018248,"S","sS","s",1,0.0441950999666005,0.050509300082922,"E","A","mask-3.png","mask-2.png",0.100621999939904,0.102522799978033,0.741919799940661
"RSVPLG03","1.0.1",701,"km","Experiment",23,"20251014-095253","main","local","local",300,300,"Both",1,"Automatic","H","hH","h",1,0.461098200175911,0.051450900034979,"S","sS","s",1,0.208523799898103,0.0502123001497239,"A","E","mask-2.png","mask-2.png",0.100575600052252,0.0996721000410616,0.305096399970353
"RSVPLG03","1.0.1",701,"km","Experiment",24,"20251014-095257","main","global","global",300,300,"Both",1,"Automatic","H","hH","s",0,5.08978060004301,0.0501884999684989,"S","sS","h",0,0.529662000015378,0.0505877998657525,"A","E","mask-3.png","mask-1.png",0.100301400059834,0.101165399886668,0.303800499998033
"RSVPLG03","1.0.1",701,"km","Experiment",25,"20251014-095307","main","global","global",750,750,"Both",1,"Automatic","S","sS","h",0,0.581166800111532,0.0506821998860687,"S","sS","s",1,0.513505399925634,0.0519274999387562,"A","E","mask-1.png","mask-2.png",0.100896499818191,0.102390399901196,0.741652499884367
